Q1,T1,Tsp,err
0.0,20.949499999999997,20.949499999999997,0.0
0.0,20.949499999999997,20.949499999999997,0.0
0.0,20.949499999999997,20.949499999999997,0.0
0.0,20.949499999999997,20.949499999999997,0.0
1.9593261599999907,20.6272,20.949499999999997,0.3222999999999985
0.025526159999999874,20.949499999999997,20.949499999999997,0.0
0.025526159999999874,20.949499999999997,20.949499999999997,0.0
0.025526159999999874,20.949499999999997,20.949499999999997,0.0
0.025526159999999874,20.949499999999997,20.949499999999997,0.0
1.9848523199999906,20.6272,20.949499999999997,0.3222999999999985
0.05105231999999976,20.949499999999997,20.949499999999997,0.0
0.05105231999999976,20.949499999999997,20.949499999999997,0.0
0.05105231999999976,20.949499999999997,20.949499999999997,0.0
0.05105231999999976,20.949499999999997,20.949499999999997,0.0
2.0103784799999906,20.6272,20.949499999999997,0.3222999999999985
0.07657847999999964,20.949499999999997,20.949499999999997,0.0
0.07657847999999964,20.949499999999997,20.949499999999997,0.0
0.07657847999999964,20.949499999999997,20.949499999999997,0.0
0.07657847999999964,20.949499999999997,20.949499999999997,0.0
0.07657847999999964,20.949499999999997,20.949499999999997,0.0
0.07657847999999964,20.949499999999997,20.949499999999997,0.0
0.07657847999999964,20.949499999999997,20.949499999999997,0.0
0.07657847999999964,20.949499999999997,20.949499999999997,0.0
0.07657847999999964,20.949499999999997,20.949499999999997,0.0
0.07657847999999964,20.949499999999997,20.949499999999997,0.0
0.07657847999999964,20.949499999999997,20.949499999999997,0.0
0.07657847999999964,20.949499999999997,20.949499999999997,0.0
2.0364203199999906,20.6272,20.949499999999997,0.3222999999999985
0.10262031999999957,20.949499999999997,20.949499999999997,0.0
0.10262031999999957,20.949499999999997,20.949499999999997,0.0
100.0,20.949499999999997,41.0,20.050500000000003
100.0,20.6272,41.0,20.3728
100.0,20.949499999999997,41.0,20.050500000000003
100.0,20.949499999999997,41.0,20.050500000000003
100.0,20.949499999999997,41.0,20.050500000000003
100.0,21.2718,41.0,19.7282
100.0,21.2718,41.0,19.7282
100.0,21.2718,41.0,19.7282
100.0,21.594099999999997,41.0,19.405900000000003
100.0,21.594099999999997,41.0,19.405900000000003
100.0,21.9164,41.0,19.0836
100.0,21.9164,41.0,19.0836
100.0,22.238699999999998,41.0,18.761300000000002
100.0,22.561,41.0,18.439
100.0,22.561,41.0,18.439
100.0,22.8833,41.0,18.1167
100.0,23.205599999999997,41.0,17.794400000000003
100.0,23.5279,41.0,17.4721
100.0,23.5279,41.0,17.4721
100.0,23.850199999999997,41.0,17.149800000000003
100.0,24.1725,41.0,16.8275
100.0,24.494799999999998,41.0,16.505200000000002
98.50759864000003,24.817099999999996,41.0,16.182900000000004
97.82995816,25.1394,41.0,15.860600000000002
97.15165280000001,25.461699999999997,41.0,15.538300000000003
96.42296,25.784,41.0,15.216000000000001
97.65241280000001,25.784,41.0,15.216000000000001
96.86244896000001,26.106299999999997,41.0,14.893700000000003
96.14098944000001,26.4286,41.0,14.5714
95.30152032000002,26.750899999999998,41.0,14.249100000000002
94.53757152000003,27.073199999999996,41.0,13.926800000000004
93.68124792,27.3955,41.0,13.604500000000002
92.82064968000003,27.717799999999997,41.0,13.282200000000003
91.91327376,28.0401,41.0,12.959900000000001
90.95004144000002,28.362399999999997,41.0,12.637600000000003
90.0408744,28.6847,41.0,12.3153
89.06651440000002,29.006999999999998,41.0,11.993000000000002
90.03554880000002,29.006999999999998,41.0,11.993000000000002
89.02606824000003,29.329299999999996,41.0,11.670700000000004
87.99106152000002,29.6516,41.0,11.348400000000002
86.94817040000002,29.973899999999997,41.0,11.026100000000003
85.86211136,30.2962,41.0,10.703800000000001
84.76713656000001,30.618499999999997,41.0,10.381500000000003
83.59783576000004,30.940799999999996,41.0,10.059200000000004
82.46635632000002,31.263099999999998,41.0,9.736900000000002
81.27066096000003,31.585399999999996,41.0,9.414600000000004
80.0715188,31.9077,41.0,9.092300000000002
78.83230280000004,32.23,41.0,8.770000000000003
79.56196680000002,32.23,41.0,8.770000000000003
78.27695016000004,32.552299999999995,41.0,8.447700000000005
77.01918344,32.8746,41.0,8.125399999999999
75.68466152000002,33.1969,41.0,7.803100000000001
74.35531016000002,33.5192,41.0,7.480800000000002
72.98846336000003,33.841499999999996,41.0,7.158500000000004
71.60702832000004,34.163799999999995,41.0,6.836200000000005
72.15392432000004,34.163799999999995,41.0,6.836200000000005
70.7360252,34.4861,41.0,6.5139
69.30250648,34.8084,41.0,6.191600000000001
67.83825048000003,35.1307,41.0,5.869300000000003
68.30309904000003,35.1307,41.0,5.869300000000003
66.81305904000004,35.452999999999996,41.0,5.547000000000004
65.31395408000003,35.775299999999994,41.0,5.224700000000006
65.71521104000004,35.775299999999994,41.0,5.224700000000006
64.19713456,36.0976,41.0,4.9024
62.60775808000002,36.4199,41.0,4.580100000000002
61.014582080000025,36.7422,41.0,4.257800000000003
61.37223728000002,36.7422,41.0,4.257800000000003
59.74068368000003,37.064499999999995,41.0,3.9355000000000047
60.058672080000036,37.064499999999995,41.0,3.9355000000000047
58.41103752000004,37.386799999999994,41.0,3.613200000000006
58.70298408000004,37.386799999999994,41.0,3.613200000000006
57.035088800000004,37.7091,41.0,3.2909000000000006
57.29572808,37.7091,41.0,3.2909000000000006
55.60179096000001,38.0314,41.0,2.968600000000002
53.879694960000016,38.353699999999996,41.0,2.6463000000000036
54.093516000000015,38.353699999999996,41.0,2.6463000000000036
52.347495200000026,38.675999999999995,41.0,2.324000000000005
52.53155600000002,38.675999999999995,41.0,2.324000000000005
